Occupation Code,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,90
15-1133,0.0,0.0,0.1,0.2,18.9,4.9,0.7,0.6,13.3,6.2,0.3,42.2,3.7,3.5,1.5,0.9,0.0,0.0,0.4,1.2
15-1141,0.0,0.4,0.6,0.2,4.0,2.3,0.8,0.9,12.8,14.0,0.6,24.0,8.3,5.2,10.0,5.4,0.5,0.1,3.5,5.9
15-1142,0.0,0.5,0.8,1.0,6.8,4.8,1.5,1.2,9.7,9.5,0.8,26.7,7.2,5.7,9.8,4.9,0.4,0.2,2.0,5.8
15-1143,0.0,0.1,0.6,0.8,4.3,3.1,0.8,0.5,18.3,9.6,0.3,35.2,7.8,5.9,4.2,2.2,0.1,0.0,0.7,4.1
15-1151,0.0,0.2,0.4,0.6,4.8,6.2,1.8,0.8,10.6,6.3,0.7,28.6,4.7,7.5,12.7,4.7,0.3,0.2,2.2,4.5
15-1152,0.0,0.3,0.5,0.8,4.1,4.6,1.0,1.3,20.1,7.7,0.4,22.9,6.3,6.2,9.4,4.0,0.2,0.2,1.6,6.1
15-1199,0.0,0.2,0.4,0.3,3.4,3.0,0.8,0.7,9.2,7.0,0.6,31.1,4.9,4.5,4.1,2.8,0.4,0.2,1.3,21.8
15-2031,0.0,0.4,0.9,0.0,6.0,1.9,0.0,1.2,4.8,29.9,0.8,22.7,9.5,4.5,3.3,3.0,0.1,0.0,0.6,9.4
17-1021,0.0,2.7,0.0,0.5,0.0,0.0,0.0,0.0,1.9,0.0,0.0,35.0,3.9,0.8,1.5,0.0,0.0,0.0,0.9,44.4
17-1022,0.0,2.0,1.0,7.5,0.3,0.0,0.0,0.2,0.0,0.0,0.0,71.7,0.5,1.0,0.0,0.0,0.0,0.0,0.1,9.8
17-2041,0.0,0.9,1.0,0.4,53.1,4.3,0.0,0.0,0.0,0.0,0.0,23.4,4.4,2.0,3.6,0.0,0.0,0.0,0.0,3.8
17-2051,0.0,0.3,0.7,10.4,1.2,0.3,0.0,0.5,0.1,0.1,0.5,54.5,1.4,1.3,1.2,0.0,0.0,0.0,0.1,23.5
17-2071,0.0,0.3,10.2,3.6,34.2,2.6,0.1,0.5,1.4,0.1,0.0,32.8,4.7,1.6,0.7,0.0,0.0,0.0,0.7,5.5
17-2072,0.0,0.1,0.3,0.9,34.4,4.4,0.2,0.5,18.1,0.1,0.1,19.6,2.9,0.0,0.6,0.0,0.0,0.0,0.4,13.5
17-2081,0.0,1.7,2.1,0.5,5.7,0.7,0.0,0.5,0.0,0.0,0.0,50.0,2.3,6.0,0.8,0.0,0.0,0.0,0.3,27.9
17-2111,0.0,3.7,2.0,14.9,25.3,1.7,0.3,3.2,0.0,4.0,0.3,19.0,4.4,4.2,2.5,0.6,0.0,0.0,0.5,13.1
17-2112,0.0,0.4,0.7,0.6,70.7,3.0,0.1,2.1,0.8,0.2,0.0,12.4,4.6,2.8,0.2,0.1,0.0,0.0,0.3,0.8
17-2121,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,40.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.5
17-2131,0.0,1.2,0.8,0.0,57.1,2.3,0.0,0.6,0.0,0.0,0.0,22.6,3.9,2.2,2.4,0.0,0.0,0.0,0.0,6.6
17-2141,0.0,0.7,0.6,1.7,48.5,4.2,0.1,0.6,0.1,0.1,0.1,28.1,3.5,4.3,0.7,0.1,0.2,0.0,0.5,5.1
17-2151,0.0,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,7.2,1.5,0.0,0.0,0.0,0.0,0.0,8.3
17-2171,0.0,45.5,1.2,0.0,12.7,0.3,0.0,4.0,0.0,0.4,0.0,15.1,17.7,0.6,0.2,0.0,0.0,0.0,0.0,1.9
17-2199,0.0,0.9,1.1,1.7,23.2,3.2,0.2,1.0,1.2,0.6,0.1,24.3,3.7,4.1,0.0,0.4,0.1,0.0,0.3,23.9
17-3013,0.0,0.5,0.4,5.9,53.8,3.8,0.0,0.4,0.0,0.0,0.2,23.8,1.5,6.6,0.2,0.0,0.1,0.0,0.5,0.7
17-3019,0.0,0.5,1.0,13.0,35.4,4.4,1.3,0.4,0.0,0.0,0.6,29.3,2.1,0.0,0.7,0.0,0.0,0.0,0.0,2.4
17-3022,0.0,0.3,0.8,2.4,0.4,0.0,0.0,0.1,0.0,0.0,0.0,48.4,0.6,1.1,0.9,0.0,0.0,0.0,0.0,43.9
17-3023,0.0,1.0,4.4,1.9,37.5,5.9,0.1,1.4,1.9,0.0,0.1,25.4,1.4,2.5,1.3,0.1,0.2,0.0,1.2,12.9
17-3024,0.0,2.9,3.5,2.4,53.7,6.4,0.0,0.9,0.0,0.0,0.0,19.9,0.9,2.0,1.9,0.0,0.0,0.0,2.7,1.3
17-3025,0.0,1.5,2.0,2.5,7.1,0.7,0.0,0.0,0.0,0.0,0.0,52.2,1.5,12.7,0.9,1.1,0.0,0.0,0.0,16.6
17-3026,0.0,0.7,0.7,0.2,80.1,1.8,0.0,0.9,0.2,0.0,0.0,7.4,2.0,2.5,0.0,0.2,0.0,0.0,0.0,2.1
17-3027,0.0,0.8,0.4,1.1,52.9,3.4,0.0,0.4,0.0,0.0,0.0,28.2,2.8,5.7,1.2,0.0,0.0,0.1,0.3,1.3
17-3029,0.0,2.1,1.2,0.7,28.9,2.6,0.2,0.7,0.3,0.2,0.0,27.1,2.2,5.4,2.5,0.7,0.0,0.0,0.2,24.3
17-3031,0.0,0.8,4.2,3.8,0.4,0.0,0.0,0.2,0.3,0.0,0.1,64.1,0.0,3.7,0.2,0.0,0.0,0.0,0.1,15.4
19-2031,0.0,0.7,0.9,0.0,42.1,3.7,0.2,0.1,0.0,0.0,0.0,26.8,3.0,4.0,4.8,0.5,0.0,0.0,0.1,12.5
19-2041,0.0,0.9,1.4,0.1,2.1,0.3,0.0,0.3,0.0,0.0,0.0,40.3,1.7,1.8,4.2,0.3,0.1,0.0,3.2,42.4
19-2042,0.0,22.1,0.4,0.3,1.0,0.0,0.0,0.0,0.7,0.2,0.0,44.2,5.2,1.3,7.3,0.0,0.0,0.0,0.0,15.9
19-3011,0.0,0.4,1.1,0.0,0.6,0.0,0.0,0.0,0.5,6.1,0.0,35.6,1.1,0.2,4.7,0.0,0.0,0.0,7.9,36.4
19-4031,0.0,2.5,1.1,0.1,45.8,4.3,0.0,0.3,0.0,0.0,0.0,28.8,2.3,2.4,4.3,0.9,0.0,0.0,0.0,2.6
19-4041,0.0,44.0,1.3,1.2,2.7,1.3,0.0,1.2,0.0,0.0,0.0,36.1,3.2,1.0,3.0,0.0,0.0,0.0,0.0,1.1
